Timestamp,Subsystem,Component,LogMessage,FaultType
7/1/2025 12:10,SignalModule,SignalRelay,Track circuit 962 failed self-check,Track Circuit Failure
7/7/2025 16:21,OnboardUnit,TrackCircuit,Log entry could not be classified,Unknown
7/5/2025 6:22,OnboardUnit,ZoneLink,Log entry could not be classified,Unknown
7/1/2025 9:07,TracksideSensor,BaliseReader,Undocumented fault condition encountered,Unknown
7/3/2025 15:57,ZoneController,ZoneLink,Track circuit 296 is showing occupied for too long,Track Circuit Failure
7/3/2025 6:09,ATS,ZoneLink,Balise reader on train 683 failed to detect balise at position 46,Balise Error
7/7/2025 22:50,ATS,SignalRelay,Track circuit 381 is showing occupied for too long,Track Circuit Failure
7/7/2025 4:02,ATS,BaliseReader,Signal overlap detected between train 195 and train 25,Signal Conflict
7/6/2025 11:40,SignalModule,TrainControl,Lost communication with train ID 580,Communication Fault
7/1/2025 10:52,OnboardUnit,BaliseReader,Track circuit 528 failed self-check,Track Circuit Failure
7/6/2025 4:20,OnboardUnit,ZoneLink,Unexpected system restart,Unknown
7/6/2025 2:47,OnboardUnit,ZoneLink,Track circuit 728 is showing occupied for too long,Track Circuit Failure
7/5/2025 8:31,ATS,TrackCircuit,Undocumented fault condition encountered,Unknown
7/4/2025 22:21,ATS,SignalRelay,Signal module 181 sent conflicting commands,Signal Conflict
7/5/2025 1:21,ZoneController,SignalRelay,Signal module 859 sent conflicting commands,Signal Conflict
7/5/2025 9:23,ATS,SignalRelay,No response from Zone Controller 430,Communication Fault
7/4/2025 19:04,SignalModule,TrackCircuit,Balise ID 398 not recognized by Zone Controller,Balise Error
7/7/2025 6:36,TracksideSensor,SignalRelay,Signal module 313 sent conflicting commands,Signal Conflict
7/1/2025 11:13,ZoneController,TrainControl,Track circuit 249 is showing occupied for too long,Track Circuit Failure
7/6/2025 6:22,ZoneController,TrackCircuit,Unexpected system restart,Unknown
7/2/2025 21:29,OnboardUnit,SignalRelay,Balise ID 579 not recognized by Zone Controller,Balise Error
7/4/2025 8:51,SignalModule,SignalRelay,Signal module 117 sent conflicting commands,Signal Conflict
7/4/2025 2:19,TracksideSensor,ZoneLink,Signal overlap detected between train 314 and train 5,Signal Conflict
7/3/2025 11:25,OnboardUnit,TrackCircuit,Signal module 206 sent conflicting commands,Signal Conflict
7/6/2025 10:34,ZoneController,TrainControl,Track circuit 216 failed self-check,Track Circuit Failure
7/7/2025 11:03,ZoneController,TrainControl,Log entry could not be classified,Unknown
7/4/2025 14:22,TracksideSensor,TrackCircuit,Balise ID 830 not recognized by Zone Controller,Balise Error
7/7/2025 1:38,OnboardUnit,TrainControl,Lost communication with train ID 181,Communication Fault
7/7/2025 6:34,ATS,TrainControl,Signal module 888 sent conflicting commands,Signal Conflict
7/3/2025 11:07,ATS,TrackCircuit,Track circuit 170 failed self-check,Track Circuit Failure
7/5/2025 13:49,TracksideSensor,BaliseReader,Balise reader on train 812 failed to detect balise at position 30,Balise Error
7/7/2025 4:53,ZoneController,TrackCircuit,Track circuit 369 failed self-check,Track Circuit Failure
7/7/2025 22:15,TracksideSensor,BaliseReader,Track circuit 813 is showing occupied for too long,Track Circuit Failure
7/2/2025 19:49,ATS,TrackCircuit,Balise ID 832 not recognized by Zone Controller,Balise Error
7/5/2025 6:30,ZoneController,TrainControl,Lost communication with train ID 166,Communication Fault
7/6/2025 18:43,ZoneController,BaliseReader,Unexpected system restart,Unknown
7/7/2025 15:22,TracksideSensor,TrainControl,Timeout while sending data to ATS,Communication Fault
7/6/2025 0:20,SignalModule,TrackCircuit,Lost communication with train ID 729,Communication Fault
7/5/2025 16:22,ATS,SignalRelay,Timeout while sending data to ATS,Communication Fault
7/2/2025 3:45,ZoneController,BaliseReader,Unexpected system restart,Unknown
7/2/2025 5:35,ZoneController,SignalRelay,Signal module 204 sent conflicting commands,Signal Conflict
7/7/2025 13:51,ATS,TrainControl,Track circuit 652 failed self-check,Track Circuit Failure
7/5/2025 6:54,ZoneController,SignalRelay,Balise reader on train 969 failed to detect balise at position 5,Balise Error
7/7/2025 10:09,ZoneController,BaliseReader,Undocumented fault condition encountered,Unknown
7/4/2025 20:58,ATS,BaliseReader,Signal module 783 sent conflicting commands,Signal Conflict
7/7/2025 23:55,ZoneController,BaliseReader,Balise reader on train 869 failed to detect balise at position 50,Balise Error
7/4/2025 17:55,SignalModule,TrainControl,Unexpected system restart,Unknown
7/2/2025 2:11,OnboardUnit,TrackCircuit,Log entry could not be classified,Unknown
7/2/2025 22:21,ZoneController,SignalRelay,Undocumented fault condition encountered,Unknown
7/5/2025 4:32,OnboardUnit,BaliseReader,Balise ID 642 not recognized by Zone Controller,Balise Error
7/4/2025 20:26,ZoneController,TrackCircuit,Balise reader on train 174 failed to detect balise at position 28,Balise Error
7/4/2025 13:59,ATS,BaliseReader,Lost communication with train ID 802,Communication Fault
7/5/2025 4:42,ATS,BaliseReader,Track circuit 426 failed self-check,Track Circuit Failure
7/2/2025 6:14,ATS,ZoneLink,Balise ID 536 not recognized by Zone Controller,Balise Error
7/1/2025 6:41,ATS,TrainControl,Log entry could not be classified,Unknown
7/1/2025 16:22,ZoneController,TrackCircuit,Log entry could not be classified,Unknown
7/2/2025 11:31,ATS,BaliseReader,Timeout while sending data to ATS,Communication Fault
7/6/2025 13:09,TracksideSensor,BaliseReader,Balise reader on train 756 failed to detect balise at position 10,Balise Error
7/3/2025 2:49,OnboardUnit,BaliseReader,Balise reader on train 716 failed to detect balise at position 24,Balise Error
7/3/2025 2:35,SignalModule,TrainControl,Track circuit 259 is showing occupied for too long,Track Circuit Failure
7/4/2025 9:03,TracksideSensor,TrainControl,Balise ID 351 not recognized by Zone Controller,Balise Error
7/6/2025 4:08,ATS,TrackCircuit,Lost communication with train ID 686,Communication Fault
7/3/2025 11:23,SignalModule,TrainControl,No response from Zone Controller 608,Communication Fault
7/6/2025 23:32,SignalModule,BaliseReader,Signal module 741 sent conflicting commands,Signal Conflict
7/7/2025 2:21,ATS,BaliseReader,Undocumented fault condition encountered,Unknown
7/7/2025 15:11,OnboardUnit,BaliseReader,Balise ID 539 not recognized by Zone Controller,Balise Error
7/3/2025 2:25,ZoneController,TrackCircuit,Balise reader on train 433 failed to detect balise at position 13,Balise Error
7/2/2025 3:45,SignalModule,SignalRelay,Log entry could not be classified,Unknown
7/6/2025 17:33,ZoneController,SignalRelay,Lost communication with train ID 746,Communication Fault
7/7/2025 19:54,SignalModule,TrainControl,Balise reader on train 470 failed to detect balise at position 48,Balise Error
7/2/2025 20:23,OnboardUnit,BaliseReader,Track circuit 692 is showing occupied for too long,Track Circuit Failure
7/1/2025 11:48,SignalModule,SignalRelay,Signal overlap detected between train 906 and train 39,Signal Conflict
7/2/2025 12:04,OnboardUnit,TrainControl,Signal overlap detected between train 554 and train 26,Signal Conflict
7/3/2025 6:43,ATS,TrackCircuit,Signal module 703 sent conflicting commands,Signal Conflict
7/4/2025 4:55,OnboardUnit,SignalRelay,Undocumented fault condition encountered,Unknown
7/6/2025 12:57,SignalModule,SignalRelay,Signal overlap detected between train 680 and train 20,Signal Conflict
7/5/2025 16:48,SignalModule,BaliseReader,Track circuit 607 is showing occupied for too long,Track Circuit Failure
7/7/2025 10:04,TracksideSensor,BaliseReader,Balise ID 237 not recognized by Zone Controller,Balise Error
7/2/2025 18:57,ATS,TrackCircuit,Lost communication with train ID 269,Communication Fault
7/4/2025 13:58,ATS,TrainControl,Track circuit 242 is showing occupied for too long,Track Circuit Failure
7/5/2025 15:10,ATS,TrackCircuit,Track circuit 678 failed self-check,Track Circuit Failure
7/3/2025 6:47,SignalModule,TrackCircuit,Signal module 938 sent conflicting commands,Signal Conflict
7/4/2025 6:36,ZoneController,BaliseReader,Signal overlap detected between train 768 and train 32,Signal Conflict
7/3/2025 12:15,SignalModule,SignalRelay,Track circuit 137 failed self-check,Track Circuit Failure
